Al-26	H-chondrite	neutron	
Egeom_total_MeV	IntS		
0.001059254	0		
0.001188502	0		
0.001333521	0		
0.001496236	0		
0.001678804	0		
0.001883649	0		
0.002113489	0		
0.002371373	0		
0.002660725	0		
0.002985383	0		
0.003349655	0		
0.003758374	0		
0.004216965	0		
0.004731512	0		
0.005308844	0		
0.005956621	0		
0.006683439	0		
0.007498942	0		
0.008413951	0		
0.009440609	0		
0.01059254	0		
0.01188502	0		
0.01333521	0		
0.01496236	0		
0.01678804	0		
0.01883649	0		
0.02113489	0		
0.02371373	0		
0.02660725	0		
0.02985383	0		
0.03349655	0		
0.03758374	0		
0.04216965	0		
0.04731512	0		
0.05308844	0		
0.05956621	0		
0.06683439	0		
0.07498942	0		
0.08413951	0		
0.09440609	0		
0.1059254	0		
0.1188502	0		
0.1333521	0		
0.1496236	0		
0.1678804	0		
0.1883649	0		
0.2113489	0		
0.2371373	0		
0.2660725	0		
0.2985383	0		
0.3349655	0		
0.3758374	0		
0.4216965	0		
0.4731512	0		
0.5308844	0		
0.5956621	0		
0.6683439	0		
0.7498942	0		
0.8413951	0		
0.9440609	0		
1.059254	0		
1.188502	0		
1.333521	0		
1.496236	0		
1.678804	0		
1.883649	0		
2.113489	0		
2.371373	0		
2.660725	0		
2.985383	0		
3.349655	0		
3.758374	0		
4.216965	0		
4.731512	0		
5.308844	0		
5.956621	0		
6.683439	0		
7.498942	0		
8.413951	0		
9.440609	0		
10.59254	0		
11.88502	0		
13.33521	3.467E-10		
14.96236	9.177E-09		
16.78804	4.072E-08		
18.83649	6.341E-08		
21.13489	8.866E-08		
23.71373	1.134E-07		
26.60725	1.314E-07		
29.85383	1.887E-07		
33.49655	3.986E-07		
37.58374	7.946E-07		
42.16965	1.13E-06		
47.31512	1.277E-06		
53.08844	1.325E-06		
59.56621	1.281E-06		
66.83439	1.197E-06		
74.98942	1.159E-06		
84.13951	1.193E-06		
94.40609	1.273E-06		
105.9254	1.362E-06		
118.8502	1.459E-06		
133.3521	1.553E-06		
149.6236	1.657E-06		
167.8804	1.774E-06		
188.3649	1.906E-06		
211.3489	2.061E-06		
237.1373	2.226E-06		
266.0725	2.419E-06		
298.5383	2.645E-06		
334.9655	2.87E-06		
375.8374	3.103E-06		
421.6965	3.371E-06		
473.1512	3.644E-06		
530.8844	3.934E-06		
595.6621	4.286E-06		
668.3439	4.686E-06		
749.8942	5.108E-06		
841.3951	5.579E-06		
944.0609	6.089E-06		
1059.254	6.715E-06		
1188.502	7.514E-06		
1333.521	8.359E-06		
1496.236	9.262E-06		
1678.804	1.027E-05		
1883.649	1.139E-05		
2113.489	1.26E-05		
2371.373	1.39E-05		
2660.725	1.547E-05		
2985.383	1.736E-05		
3349.655	1.948E-05		
3758.374	2.186E-05		
4216.965	2.452E-05		
4731.512	2.752E-05		
5308.844	3.087E-05		
5956.621	3.464E-05		
6683.439	3.887E-05		
7498.942	4.361E-05		
8413.951	4.893E-05		
9440.609	5.49E-05		
10592.54	6.16E-05		
11885.02	6.911E-05		
13335.21	7.755E-05		
14962.36	8.701E-05		
16788.04	9.763E-05		
18836.49	0.0001095		
21134.89	0.0001229		
23713.73	0.0001379		
26607.25	0.0001547		
29853.83	0.0001736		
33496.55	0.0001948		
37583.74	0.0002186		
42169.65	0.0002452		
47315.12	0.0002752		
53088.44	0.0003087		
59566.21	0.0003464		
66834.39	0.0003887		
74989.42	0.0004361		
84139.51	0.0004893		
94406.09	0.000549		
105925.4	0.000616		
118850.2	0		to be computed from here
133352.1	0		
149623.6	0		
167880.4	0		
188364.9	0		
211348.9	0		
237137.3	0		
266072.5	0		
298538.3	0		
334965.5	0		
375837.4	0		
421696.5	0		
473151.2	0		
530884.4	0		
595662.1	0		
668343.9	0		
749894.2	0		
841395.1	0		
944060.9	0		
