Al-26	H-chondrite	proton	
Egeom_total_MeV	IntS		
0.001059254	0		
0.001188502	0		
0.001333521	0		
0.001496236	0		
0.001678804	0		
0.001883649	0		
0.002113489	0		
0.002371373	0		
0.002660725	0		
0.002985383	0		
0.003349655	0		
0.003758374	0		
0.004216965	0		
0.004731512	0		
0.005308844	0		
0.005956621	0		
0.006683439	0		
0.007498942	0		
0.008413951	0		
0.009440609	0		
0.01059254	0		
0.01188502	0		
0.01333521	0		
0.01496236	0		
0.01678804	0		
0.01883649	0		
0.02113489	0		
0.02371373	0		
0.02660725	0		
0.02985383	0		
0.03349655	0		
0.03758374	0		
0.04216965	0		
0.04731512	0		
0.05308844	0		
0.05956621	0		
0.06683439	0		
0.07498942	0		
0.08413951	0		
0.09440609	0		
0.1059254	0		
0.1188502	0		
0.1333521	0		
0.1496236	0		
0.1678804	0		
0.1883649	0		
0.2113489	0		
0.2371373	0		
0.2660725	0		
0.2985383	0		
0.3349655	0		
0.3758374	0		
0.4216965	0		
0.4731512	0		
0.5308844	1.014E-09		
0.5956621	8.011E-09		
0.6683439	1.405E-08		
0.7498942	2.098E-08		
0.8413951	2.994E-08		
0.9440609	3.851E-08		
1.059254	4.672E-08		
1.188502	5.435E-08		
1.333521	6.096E-08		
1.496236	7.452E-08		
1.678804	9.459E-08		
1.883649	1.17E-07		
2.113489	1.448E-07		
2.371373	1.71E-07		
2.660725	2.065E-07		
2.985383	3.306E-07		
3.349655	6.109E-07		
3.758374	9.914E-07		
4.216965	1.251E-06		
4.731512	1.34E-06		
5.308844	1.37E-06		
5.956621	1.336E-06		
6.683439	1.304E-06		
7.498942	1.314E-06		
8.413951	1.375E-06		
9.440609	1.447E-06		
10.59254	1.538E-06		
11.88502	1.652E-06		
13.33521	1.774E-06		
14.96236	1.906E-06		
16.78804	2.049E-06		
18.83649	2.205E-06		
21.13489	2.369E-06		
23.71373	2.542E-06		
26.60725	2.73E-06		
29.85383	2.935E-06		
33.49655	3.159E-06		
37.58374	3.396E-06		
42.16965	3.643E-06		
47.31512	3.911E-06		
53.08844	4.197E-06		
59.56621	4.503E-06		
66.83439	4.841E-06		
74.98942	5.221E-06		
84.13951	5.642E-06		
94.40609	6.108E-06		
105.9254	6.736E-06		
118.8502	7.536E-06		
133.3521	8.383E-06		
149.6236	9.289E-06		
167.8804	1.03E-05		
188.3649	1.142E-05		
211.3489	1.263E-05		
237.1373	1.394E-05		
266.0725	1.551E-05		
298.5383	1.74E-05		
334.9655	1.953E-05		
375.8374	2.191E-05		
421.6965	2.458E-05		
473.1512	2.757E-05		
530.8844	3.094E-05		
595.6621	3.471E-05		
668.3439	3.894E-05		
749.8942	4.369E-05		
841.3951	4.902E-05		
944.0609	5.5E-05		
1059.254	6.17E-05		
1188.502	6.923E-05		
1333.521	7.768E-05		
1496.236	8.716E-05		
1678.804	9.779E-05		
1883.649	0.0001097		
2113.489	0.0001231		
2371.373	0.0001381		
2660.725	0.000155		
2985.383	0.0001739		
3349.655	0.0001951		
3758.374	0.0002189		
4216.965	0.0002456		
4731.512	0.0002756		
5308.844	0.0003093		
5956.621	0.000347		
6683.439	0.0003893		
7498.942	0.0004368		
8413.951	0.0004901		
9440.609	0.0005499		
10592.54	0.000617		
11885.02	0		to be computed from here
13335.21	0		
14962.36	0		
16788.04	0		
18836.49	0		
21134.89	0		
23713.73	0		
26607.25	0		
29853.83	0		
33496.55	0		
37583.74	0		
42169.65	0		
47315.12	0		
53088.44	0		
59566.21	0		
66834.39	0		
74989.42	0		
84139.51	0		
94406.09	0		
105925.4	0		
118850.2	0		
133352.1	0		
149623.6	0		
167880.4	0		
188364.9	0		
211348.9	0		
237137.3	0		
266072.5	0		
298538.3	0		
334965.5	0		
375837.4	0		
421696.5	0		
473151.2	0		
530884.4	0		
595662.1	0		
668343.9	0		
749894.2	0		
841395.1	0		
944060.9	0		
