S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	alphas)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	5.446656E-10	0	5.446656E-10	0								
5.956621	2.992842E-09	0	2.992842E-09	0								
6.683439	6.287592E-09	0	6.287592E-09	0								
7.498942	1.339954E-08	0	1.339954E-08	0								
8.413951	2.830787E-08	0	2.830787E-08	0								
9.440609	4.622708E-08	0	4.622708E-08	0								
10.59254	5.925516E-08	0	5.925516E-08	0								
11.88502	6.77302E-08	0	6.77302E-08	0								
13.33521	7.688961E-08	0	7.688961E-08	0								
14.96236	9.546986E-08	0	9.546986E-08	0								
16.78804	1.69179E-07	4.355918E-08	1.256198E-07	0								
18.83649	4.840367E-07	3.243077E-07	1.597289E-07	0								
21.13489	1.032525E-06	8.46189E-07	1.863364E-07	0								
23.71373	1.726645E-06	1.537771E-06	1.88874E-07	0								
26.60725	2.645093E-06	2.460602E-06	1.724268E-07	1.206499E-08								
29.85383	3.916756E-06	3.683127E-06	1.601849E-07	7.344445E-08								
33.49655	5.619881E-06	5.291479E-06	1.669061E-07	1.61496E-07								
37.58374	7.852035E-06	7.395162E-06	1.777782E-07	2.790951E-07								
42.16965	1.074972E-05	1.013388E-05	1.799875E-07	4.358434E-07								
47.31512	1.451381E-05	1.368654E-05	1.840517E-07	6.43215E-07								
53.08844	1.939332E-05	1.828815E-05	1.896383E-07	9.155323E-07								
59.56621	2.583359E-05	2.436299E-05	2.024126E-07	1.268186E-06								
66.83439	3.378356E-05	3.182198E-05	2.239258E-07	1.737657E-06								
74.98942	4.142792E-05	3.877087E-05	2.443018E-07	2.412741E-06								
84.13951	4.992085E-05	4.619207E-05	2.584127E-07	3.47037E-06								
94.40609	6.449783E-05	5.948621E-05	2.786774E-07	4.732941E-06								
105.9254	8.148042E-05	7.546924E-05	3.110572E-07	5.700122E-06								
118.8502	9.640582E-05	8.957737E-05	3.501089E-07	6.478337E-06								
133.3521	0.0001136849	0.0001059511	3.943113E-07	7.339525E-06								
149.6236	0.0001342214	0.000125344	4.397538E-07	8.437617E-06								
167.8804	0.0001580394	0.0001474427	4.638986E-07	1.013276E-05								
188.3649	0.0001846592	0.0001717802	4.637595E-07	1.241527E-05								
211.3489	0.0002101849	0.0001950406	4.791456E-07	1.466511E-05								
237.1373	0.0002330773	0.0002157375	5.187707E-07	1.682101E-05								
266.0725	0.0002556118	0.0002358721	5.647331E-07	1.917495E-05								
298.5383	0.0002789391	0.0002567225	6.039787E-07	2.161265E-05								
334.9655	0.0003027536	0.000278383	6.12337E-07	2.375827E-05								
375.8374	0.0003250187	0.0002990526	6.060742E-07	2.53601E-05								
421.6965	0.000344747	0.0003176616	6.463874E-07	2.643897E-05								
473.1512	0.0003615628	0.0003342885	7.407432E-07	2.653352E-05								
530.8844	0.0003771988	0.0003508915	8.619419E-07	2.544537E-05								
595.6621	0.0003986173	0.0003732463	1.001645E-06	2.436931E-05								
668.3439	0.0004361829	0.0004096862	1.141581E-06	2.535505E-05								
749.8942	0.000488569	0.0004589977	1.282325E-06	2.828892E-05								
841.3951	0.0005481837	0.0005150042	1.438793E-06	3.174071E-05								
944.0609	0.0006150725	0.0005778444	1.614353E-06	3.561368E-05								
1059.254	0.0006901198	0.0006483495	1.811326E-06	3.995904E-05								
1188.502	0.0007743303	0.000727463	2.03235E-06	4.483496E-05								
1333.521	0.0008688176	0.0008162313	2.280346E-06	5.030592E-05								
1496.236	0.0009748202	0.0009158179	2.558566E-06	5.644364E-05								
1678.804	0.001093769	0.001027567	2.870766E-06	6.333098E-05								
1883.649	0.001227231	0.001152951	3.221058E-06	7.105864E-05								
2113.489	0.001376976	0.001293633	3.614087E-06	7.972913E-05								
2371.373	0.00154499	0.001451478	4.055065E-06	8.945739E-05								
2660.725	0.001733512	0.001628589	4.549871E-06	0.0001003731								
2985.383	0.001945031	0.001827305	5.105034E-06	0.0001126204								
3349.655	0.002182357	0.002050267	5.727935E-06	0.000126362								
3758.374	0.002448648	0.00230044	6.426855E-06	0.0001417806								
4216.965	0.002747426	0.002581134	7.211044E-06	0.0001590803								
4731.512	0.003082661	0.002896079	8.090922E-06	0.000178491								
5308.844	0.003458806	0.003249457	9.078172E-06	0.0002002704								
5956.621	0.003880842	0.00364595	1.018587E-05	0.000224707								
6683.439	0.004354381	0.004090827	1.142875E-05	0.0002521256								
7498.942	0.00488569	0.004589977	1.282325E-05	0.0002828892								
8413.951	0.005481837	0.005150042	1.438793E-05	0.0003174071								
9440.609	0.006150725	0.005778444	1.614353E-05	0.0003561368								
10592.54	0.006901198	0.006483495	1.811326E-05	0.0003995904								
11885.02	0.007743303	0.00727463	2.03235E-05	0.0004483496								
13335.21	0.008688176	0.008162313	2.280346E-05	0.0005030592								
14962.36	0.009748202	0.009158179	2.558566E-05	0.0005644364								
16788.04	0.01093769	0.01027567	2.870766E-05	0.0006333098								
18836.49	0.01227231	0.01152951	3.221058E-05	0.0007105864								
21134.89	0.01376976	0.01293633	3.614087E-05	0.0007972913								
23713.73	0.0154499	0.01451478	4.055065E-05	0.0008945739								
26607.25	0.01733512	0.01628589	4.549871E-05	0.001003731								
29853.83	0.01945031	0.01827305	5.105034E-05	0.001126204								
33496.55	0.02182357	0.02050267	5.727935E-05	0.00126362								
37583.74	0.02448648	0.0230044	6.426855E-05	0.001417806								
42169.65	0.02747426	0.02581134	7.211044E-05	0.001590803								
47315.12	0.03082661	0.02896079	8.090922E-05	0.00178491								
53088.44	0.03458806	0.03249457	9.078172E-05	0.002002704								
59566.21	0.03880842	0.0364595	0.0001018587	0.00224707								
66834.39	0.04354381	0.04090827	0.0001142875	0.002521256								
74989.42	0.0488569	0.04589977	0.0001282325	0.002828892								
84139.51	0.05481837	0.05150042	0.0001438793	0.003174071								
94406.09	0.06150725	0.05778444	0.0001614353	0.003561368								
105925.4	0.06901198	0.06483495	0.0001811326	0.003995904								
118850.2	0.07743303	0.0727463	0.000203235	0.004483496								
133352.1	0.08688176	0.08162313	0.0002280346	0.005030592								
149623.6	0.09748202	0.09158179	0.0002558566	0.005644364								
167880.4	0.1093769	0.1027567	0.0002870766	0.006333098								
188364.9	0.1227231	0.1152951	0.0003221058	0.007105864								
211348.9	0.1376976	0.1293633	0.0003614087	0.007972913								
237137.3	0	0	0	0								
266072.5	0	0	0	0								
298538.3	0	0	0	0								
334965.5	0	0	0	0								
375837.4	0	0	0	0								
421696.5	0	0	0	0								
473151.2	0	0	0	0								
530884.4	0	0	0	0								
595662.1	0	0	0	0								
668343.9	0	0	0	0								
749894.2	0	0	0	0								
841395.1	0	0	0	0								
944060.9	0	0	0	0								
