S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	protons)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	0	0	0	0								
0.9440609	0	0	0	0								
1.059254	0	0	0	0								
1.188502	0	0	0	0								
1.333521	0	0	0	0								
1.496236	0	0	0	0								
1.678804	0	0	0	0								
1.883649	0	0	0	0								
2.113489	0	0	0	0								
2.371373	0	0	0	0								
2.660725	0	0	0	0								
2.985383	0	0	0	0								
3.349655	0	0	0	0								
3.758374	0	0	0	0								
4.216965	0	0	0	0								
4.731512	0	0	0	0								
5.308844	0	0	0	0								
5.956621	0	0	0	0								
6.683439	0	0	0	0								
7.498942	0	0	0	0								
8.413951	0	0	0	0								
9.440609	0	0	0	0								
10.59254	0	0	0	0								
11.88502	0	0	0	0								
13.33521	0	0	0	0								
14.96236	0	0	0	0								
16.78804	0	0	0	0								
18.83649	0	0	0	0								
21.13489	0	0	0	0								
23.71373	7.200995E-09	0	0	7.200995E-09								
26.60725	1.511296E-08	0	0	1.511296E-08								
29.85383	3.219197E-08	0	0	3.219197E-08								
33.49655	6.911059E-08	0	0	6.911059E-08								
37.58374	1.143518E-07	0	0	1.143518E-07								
42.16965	1.473228E-07	0	0	1.473228E-07								
47.31512	1.684689E-07	0	0	1.684689E-07								
53.08844	1.905363E-07	0	0	1.905363E-07								
59.56621	2.359425E-07	0	0	2.359425E-07								
66.83439	3.108938E-07	0	0	3.108938E-07								
74.98942	1.006914E-06	6.101917E-07	0	3.967223E-07								
84.13951	2.108861E-06	1.643586E-06	0	4.652749E-07								
94.40609	3.483692E-06	3.010298E-06	0	4.733949E-07								
105.9254	5.26635E-06	4.834375E-06	0	4.319751E-07								
118.8502	7.791869E-06	7.251613E-06	1.406045E-07	3.996519E-07								
133.3521	1.116337E-05	1.043261E-05	3.146978E-07	4.160635E-07								
149.6236	1.558505E-05	1.459392E-05	5.470915E-07	4.440352E-07								
167.8804	2.131884E-05	2.00125E-05	8.569449E-07	4.493948E-07								
188.3649	2.876871E-05	2.704228E-05	1.266995E-06	4.59436E-07								
211.3489	3.841678E-05	3.613817E-05	1.805841E-06	4.727707E-07								
237.1373	5.118701E-05	4.818025E-05	2.502864E-06	5.039014E-07								
266.0725	6.711141E-05	6.312621E-05	3.427464E-06	5.577369E-07								
298.5383	8.235922E-05	7.700012E-05	4.749861E-06	6.092399E-07								
334.9655	9.890609E-05	9.141411E-05	6.847997E-06	6.439757E-07								
375.8374	0.0001278732	0.0001177868	9.392832E-06	6.935456E-07								
421.6965	0.0001620002	0.0001498858	1.134055E-05	7.738721E-07								
473.1512	0.0001916932	0.0001779315	1.289073E-05	8.709908E-07								
530.8844	0.000226028	0.0002104502	1.459654E-05	9.812588E-07								
595.6621	0.000266876	0.0002490294	1.674999E-05	1.09663E-06								
668.3439	0.0003142958	0.0002930402	2.009628E-05	1.15923E-06								
749.8942	0.0003675779	0.0003417596	2.466079E-05	1.157532E-06								
841.3951	0.0004188022	0.0003884425	2.916582E-05	1.193835E-06								
944.0609	0.0004646129	0.0004298592	3.346148E-05	1.292261E-06								
1059.254	0.0005096235	0.0004700559	3.815999E-05	1.407605E-06								
1188.502	0.0005562384	0.0005116773	4.305273E-05	1.508391E-06								
1333.521	0.0006039577	0.0005550466	4.738025E-05	1.530779E-06								
1496.236	0.0006486311	0.0005965029	5.061715E-05	1.511006E-06								
1678.804	0.0006882961	0.0006338475	5.284165E-05	1.607022E-06								
1883.649	0.0007220582	0.0006671016	5.311624E-05	1.840436E-06								
2113.489	0.0007529967	0.0006999096	5.094549E-05	2.141611E-06								
2371.373	0.0007947475	0.0007436089	4.864792E-05	2.490666E-06								
2660.725	0.0008688665	0.0008155445	5.048166E-05	2.84032E-06								
2985.383	0.0009731535	0.0009136527	5.631019E-05	3.190646E-06								
3349.655	0.001091895	0.001025134	6.318099E-05	3.579959E-06								
3758.374	0.001225127	0.00115022	7.089031E-05	4.016784E-06								
4216.965	0.001374614	0.001290567	7.954017E-05	4.506902E-06								
4731.512	0.001542342	0.00144804	8.924551E-05	5.056826E-06								
5308.844	0.001730538	0.001624729	0.0001001352	5.673857E-06								
5956.621	0.001941694	0.001822975	0.0001123535	6.36617E-06								
6683.439	0.002178619	0.002045414	0.0001260628	7.142968E-06								
7498.942	0.002444448	0.002294989	0.0001414446	8.014531E-06								
8413.951	0.002742717	0.002575021	0.0001587036	8.992456E-06								
9440.609	0.00307738	0.002889222	0.0001780684	1.008971E-05								
10592.54	0.003452863	0.003241747	0.0001997952	1.132079E-05								
11885.02	0.003874192	0.003637315	0.0002241748	1.270219E-05								
13335.21	0.004346938	0.004081156	0.0002515296	1.425216E-05								
14962.36	0.004877299	0.00457909	0.0002822182	1.599104E-05								
16788.04	0.005472434	0.005137837	0.0003166549	1.794229E-05								
18836.49	0.006140181	0.005764757	0.0003552932	2.013161E-05								
21134.89	0.006889399	0.006468165	0.0003986456	2.258805E-05								
23713.73	0.007730019	0.007257388	0.0004472869	2.534416E-05								
26607.25	0.008673247	0.008142945	0.0005018656	2.843669E-05								
29853.83	0.009731535	0.009136527	0.0005631019	3.190646E-05								
33496.55	0.01091895	0.01025134	0.0006318099	3.579959E-05								
37583.74	0.01225127	0.0115022	0.0007089031	4.016784E-05								
42169.65	0.01374614	0.01290567	0.0007954017	4.506902E-05								
47315.12	0.01542342	0.0144804	0.0008924551	5.056826E-05								
53088.44	0.01730538	0.01624729	0.001001352	5.673857E-05								
59566.21	0.01941694	0.01822975	0.001123535	6.36617E-05								
66834.39	0.02178619	0.02045414	0.001260628	7.142968E-05								
74989.42	0.02444448	0.02294989	0.001414446	8.014531E-05								
84139.51	0.02742717	0.02575021	0.001587036	8.992456E-05								
94406.09	0.0307738	0.02889222	0.001780684	0.0001008971								
105925.4	0.03452863	0.03241747	0.001997952	0.0001132079								
118850.2	0.03874192	0.03637315	0.002241748	0.0001270219								
133352.1	0.04346938	0.04081156	0.002515296	0.0001425216								
149623.6	0.04877299	0.0457909	0.002822182	0.0001599104								
167880.4	0.05472434	0.05137837	0.003166549	0.0001794229								
188364.9	0.06140181	0.05764757	0.003552932	0.0002013161								
211348.9	0.06889399	0.06468165	0.003986456	0.0002258805								
237137.3	0.07730019	0.07257388	0.004472869	0.0002534416								
266072.5	0.08673247	0.08142945	0.005018656	0.0002843669								
298538.3	0.09731535	0.09136527	0.005631019	0.0003190646								
334965.5	0.1091895	0.1025134	0.006318099	0.0003579959								
375837.4	0.1225127	0.115022	0.007089031	0.0004016784								
421696.5	0.1374614	0.1290567	0.007954017	0.0004506902								
473151.2	0.1542342	0.144804	0.008924551	0.0005056826								
530884.4	0.1730538	0.1624729	0.01001352	0.0005673857								
595662.1	0.1941694	0.1822975	0.01123535	0.000636617								
668343.9	0.2178619	0.2045414	0.01260628	0.0007142968								
749894.2	0.2444448	0.2294989	0.01414446	0.0008014531								
841395.1	0.2742717	0.2575021	0.01587036	0.0008992456								
944060.9	0.307738	0.2889222	0.01780684	0.001008971								
