S	integral	(Ni,	Ti,	Fe	cross-sections	for	Ti-44	by	pi+)			
Energy[MeV]		Sint_Sum[(cm2	MeV)/g]		Sint_Fe[(cm2	MeV)/g]		Sint_Ni[(cm2	MeV)/g]		Sint_Ti[(cm2	MeV)/g]
0.001059254	0	0	0	0								
0.001188502	0	0	0	0								
0.001333521	0	0	0	0								
0.001496236	0	0	0	0								
0.001678804	0	0	0	0								
0.001883649	0	0	0	0								
0.002113489	0	0	0	0								
0.002371373	0	0	0	0								
0.002660725	0	0	0	0								
0.002985383	0	0	0	0								
0.003349655	0	0	0	0								
0.003758374	0	0	0	0								
0.004216965	0	0	0	0								
0.004731512	0	0	0	0								
0.005308844	0	0	0	0								
0.005956621	0	0	0	0								
0.006683439	0	0	0	0								
0.007498942	0	0	0	0								
0.008413951	0	0	0	0								
0.009440609	0	0	0	0								
0.01059254	0	0	0	0								
0.01188502	0	0	0	0								
0.01333521	0	0	0	0								
0.01496236	0	0	0	0								
0.01678804	0	0	0	0								
0.01883649	0	0	0	0								
0.02113489	0	0	0	0								
0.02371373	0	0	0	0								
0.02660725	0	0	0	0								
0.02985383	0	0	0	0								
0.03349655	0	0	0	0								
0.03758374	0	0	0	0								
0.04216965	0	0	0	0								
0.04731512	0	0	0	0								
0.05308844	0	0	0	0								
0.05956621	0	0	0	0								
0.06683439	0	0	0	0								
0.07498942	0	0	0	0								
0.08413951	0	0	0	0								
0.09440609	0	0	0	0								
0.1059254	0	0	0	0								
0.1188502	0	0	0	0								
0.1333521	0	0	0	0								
0.1496236	0	0	0	0								
0.1678804	0	0	0	0								
0.1883649	0	0	0	0								
0.2113489	0	0	0	0								
0.2371373	0	0	0	0								
0.2660725	0	0	0	0								
0.2985383	0	0	0	0								
0.3349655	0	0	0	0								
0.3758374	0	0	0	0								
0.4216965	0	0	0	0								
0.4731512	0	0	0	0								
0.5308844	0	0	0	0								
0.5956621	0	0	0	0								
0.6683439	0	0	0	0								
0.7498942	0	0	0	0								
0.8413951	1.152802E-09	1.11737E-09	0	3.543145E-11								
0.9440609	3.675374E-09	3.522852E-09	0	1.525216E-10								
1.059254	6.966583E-09	6.666112E-09	0	3.004714E-10								
1.188502	1.136363E-08	1.086538E-08	0	4.982511E-10								
1.333521	1.719561E-08	1.643452E-08	0	7.610963E-10								
1.496236	2.486566E-08	2.375796E-08	0	1.107697E-09								
1.678804	3.487529E-08	3.331371E-08	0	1.561583E-09								
1.883649	4.784368E-08	4.569135E-08	0	2.152338E-09								
2.113489	6.452958E-08	6.161244E-08	0	2.917144E-09								
2.371373	8.585001E-08	8.194744E-08	0	3.902567E-09								
2.660725	1.128936E-07	1.077269E-07	0	5.166728E-09								
2.985383	1.469156E-07	1.40134E-07	0	6.781673E-09								
3.349655	1.893969E-07	1.805519E-07	4.205029E-12	8.840755E-09								
3.758374	2.423055E-07	2.307316E-07	1.062E-10	1.146765E-08								
4.216965	3.080662E-07	2.928858E-07	3.636554E-10	1.481675E-08								
4.731512	3.897054E-07	3.697633E-07	8.649361E-10	1.907716E-08								
5.308844	4.911057E-07	4.648996E-07	1.722221E-09	2.44839E-08								
5.956621	6.174028E-07	5.83002E-07	3.073899E-09	3.132689E-08								
6.683439	7.756411E-07	7.30605E-07	5.075703E-09	3.996037E-08								
7.498942	9.758571E-07	9.171721E-07	7.874255E-09	5.081076E-08								
8.413951	1.232919E-06	1.15699E-06	1.154714E-08	6.438189E-08								
9.440609	1.569584E-06	1.472352E-06	1.598089E-08	8.125092E-08								
10.59254	2.015247E-06	1.892069E-06	2.102479E-08	1.021529E-07								
11.88502	2.601095E-06	2.446043E-06	2.692963E-08	1.281217E-07								
13.33521	3.366889E-06	3.172359E-06	3.409371E-08	1.604361E-07								
14.96236	4.369296E-06	4.125933E-06	4.27697E-08	2.005941E-07								
16.78804	5.682819E-06	5.379057E-06	5.330727E-08	2.504547E-07								
18.83649	7.404549E-06	7.026008E-06	6.62265E-08	3.123147E-07								
21.13489	9.660502E-06	9.189098E-06	8.236079E-08	3.890434E-07								
23.71373	1.26127E-05	1.202533E-05	1.031105E-07	4.842561E-07								
26.60725	1.646702E-05	1.573356E-05	1.308934E-07	6.025749E-07								
29.85383	2.148027E-05	2.056035E-05	1.699242E-07	7.500031E-07								
33.49655	2.811361E-05	2.694711E-05	2.30133E-07	9.363715E-07								
37.58374	3.719473E-05	3.568758E-05	3.300535E-07	1.17709E-06								
42.16965	4.97486E-05	4.776516E-05	4.932226E-07	1.49022E-06								
47.31512	6.691273E-05	6.426985E-05	7.475169E-07	1.895366E-06								
53.08844	9.003023E-05	8.648751E-05	1.128277E-06	2.41444E-06								
59.56621	0.0001205497	0.000115803	1.677545E-06	3.069137E-06								
66.83439	0.0001597677	0.0001534521	2.440343E-06	3.875307E-06								
74.98942	0.0002082732	0.0001999867	3.45497E-06	4.831607E-06								
84.13951	0.0002648605	0.0002542301	4.732231E-06	5.898193E-06								
94.40609	0.0003244876	0.0003113156	6.214306E-06	6.957701E-06								
105.9254	0.0003830687	0.0003673156	7.856111E-06	7.896975E-06								
118.8502	0.0004457516	0.000427211	9.791371E-06	8.749226E-06								
133.3521	0.0005187089	0.0004969674	1.219604E-05	9.545488E-06								
149.6236	0.0006032764	0.0005778959	1.516769E-05	1.021286E-05								
167.8804	0.0007007781	0.0006713061	1.881176E-05	1.066028E-05								
188.3649	0.0008123415	0.0007783252	2.322993E-05	1.078629E-05								
211.3489	0.00093871	0.0008997068	2.849925E-05	1.050392E-05								
237.1373	0.001079909	0.001035482	3.46316E-05	9.795461E-06								
266.0725	0.001234772	0.001184447	4.15014E-05	8.823734E-06								
298.5383	0.001400217	0.001343366	4.871787E-05	8.132985E-06								
334.9655	0.001574415	0.001510208	5.605378E-05	8.153261E-06								
375.8374	0.001759927	0.00168737	6.401169E-05	8.544986E-06								
421.6965	0.001957872	0.001875858	7.31149E-05	8.898902E-06								
473.1512	0.002165288	0.002072571	8.350531E-05	9.211848E-06								
530.8844	0.002377911	0.002273096	9.532726E-05	9.487107E-06								
595.6621	0.002590424	0.002471967	0.000108719	9.737703E-06								
668.3439	0.002797492	0.002663702	0.0001238006	9.990021E-06								
749.8942	0.002996235	0.002845294	0.0001406544	1.028644E-05								
841.3951	0.003191511	0.003021525	0.0001593009	1.068527E-05								
944.0609	0.003406044	0.003215128	0.0001796627	1.125329E-05								
1059.254	0.003660338	0.003446834	0.0002015166	1.198763E-05								
1188.502	0.003936063	0.003698831	0.0002244371	1.279487E-05								
1333.521	0.00420809	0.003946734	0.0002477359	1.36197E-05								
1496.236	0.004469662	0.004184777	0.0002704166	1.446844E-05								
1678.804	0.00471355	0.004407023	0.0002911733	1.535375E-05								
1883.649	0.004932579	0.004607837	0.0003084489	1.629322E-05								
2113.489	0.005121617	0.004783587	0.0003207229	1.730625E-05								
2371.373	0.00528072	0.004935154	0.0003271633	1.840261E-05								
2660.725	0.005420753	0.005072207	0.0003289893	1.955658E-05								
2985.383	0.005572604	0.005219904	0.0003320469	2.06527E-05								
3349.655	0.005743854	0.005381139	0.0003412088	2.150629E-05								
3758.374	0.005873481	0.005500148	0.0003513312	2.20019E-05								
4216.965	0.005901317	0.005523265	0.0003559974	2.205512E-05								
4731.512	0.005801052	0.005425867	0.0003536545	2.153089E-05								
5308.844	0.005548788	0.005185675	0.0003428189	2.029404E-05								
5956.621	0.005130089	0.004789408	0.0003224416	1.823934E-05								
6683.439	0.004552886	0.004244948	0.0002925875	1.535079E-05								
7498.942	0.003870085	0.003602632	0.0002556396	1.181348E-05								
8413.951	0.003217854	0.002991261	0.0002183664	8.22616E-06								
9440.609	0.002869974	0.002668977	0.0001950518	5.945707E-06								
10592.54	0.002971076	0.002772045	0.0001933671	5.66433E-06								
11885.02	0.003314658	0.003106481	0.0002015928	6.58456E-06								
13335.21	0.003697782	0.00348122	0.0002086146	7.94738E-06								
14962.36	0.00412544	0.003901151	0.0002143422	9.946264E-06								
16788.04	0.004603705	0.004371979	0.0002189017	1.28241E-05								
18836.49	0.005139637	0.004900029	0.0002227473	1.686046E-05								
21134.89	0.005741729	0.005492553	0.0002268448	2.233161E-05								
23713.73	0.006420105	0.006157811	0.0002328792	2.941534E-05								
26607.25	0.007186746	0.006905258	0.000243493	3.799484E-05								
29853.83	0.008055308	0.007745527	0.0002625031	4.727816E-05								
33496.55	0.009045011	0.008695488	0.0002929704	5.655334E-05								
37583.74	0.01018655	0.009783745	0.0003361799	6.662701E-05								
42169.65	0.01152074	0.01104692	0.0003952684	7.854631E-05								
47315.12	0.01309925	0.01253021	0.0004764448	9.259713E-05								
53088.44	0.01499117	0.01429488	0.0005872265	0.0001090665								
59566.21	0.01728824	0.01642423	0.0007358092	0.0001282082								
66834.39	0.02011123	0.0190317	0.0009293533	0.0001501833								
74989.42	0.02361626	0.02227112	0.001170184	0.0001749555								
84139.51	0.0280008	0.02635045	0.001448226	0.0002021214								
94406.09	0.03350531	0.0315481	0.001726577	0.0002306265								
105925.4	0.04046518	0.03823279	0.001972402	0.0002599833								
118850.2	0.04939092	0.04688613	0.002213081	0.0002917072								
133352.1	0.06093261	0.05812217	0.002483131	0.0003273026								
149623.6	0.07585368	0.07270035	0.002786092	0.0003672361								
167880.4	0.09505969	0.09152159	0.003126055	0.0004120468								
188364.9	0.11954	0.1155702	0.003507497	0.0004623248								
211348.9	0.1502289	0.1457747	0.003935478	0.0005187371								
237137.3	0.1876953	0.1826976	0.00441567	0.0005820316								
266072.5	0.2315321	0.2259246	0.004954477	0.0006530519								
298538.3	0.2792048	0.272913	0.00555901	0.0007327357								
334965.5	0.3239674	0.316908	0.006237303	0.0008221418								
375837.4	0.3510892	0.3431684	0.006998377	0.0009224592								
421696.5	0.3306925	0.3218052	0.007852301	0.001035015								
473151.2	0.1965127	0.186541	0.008810424	0.001161306								
530884.4	0.01118847	0	0.009885467	0.001303008								
595662.1	0.01255367	0	0.01109167	0.001461998								
668343.9	0.01408546	0	0.01244507	0.001640391								
749894.2	0.01580413	0	0.01396358	0.001840546								
841395.1	0.01773253	0	0.01566741	0.002065128								
944060.9	0.01989624	0	0.01757913	0.002317113								
